"SID","study","item","value"
"study 6_s466","study 6","household income","$35,000 through $49,999"
"study 6_s467","study 6","household income","$35,000 through $49,999"
"study 6_s470","study 6","household income","$50,000 through $74,999"
"study 6_s471","study 6","household income","$50,000 through $74,999"
"study 6_s473","study 6","household income","$50,000 through $74,999"
"study 6_s475","study 6","household income","$16,000 through $24,999"
"study 6_s478","study 6","household income","Less than $5,000"
"study 6_s479","study 6","household income","$25,000 through $34,999"
"study 6_s481","study 6","household income","$50,000 through $74,999"
"study 6_s482","study 6","household income","$50,000 through $74,999"
"study 6_s483","study 6","household income","$35,000 through $49,999"
"study 6_s485","study 6","household income","$35,000 through $49,999"
"study 6_s487","study 6","household income","$35,000 through $49,999"
"study 6_s488","study 6","household income","$35,000 through $49,999"
"study 6_s490","study 6","household income","$50,000 through $74,999"
"study 6_s492","study 6","household income","$35,000 through $49,999"
"study 6_s493","study 6","household income","$100,000 and greater"
"study 6_s494","study 6","household income","$25,000 through $34,999"
"study 6_s495","study 6","household income","$16,000 through $24,999"
"study 6_s496","study 6","household income","$5,000 through $11,999"
"study 6_s497","study 6","household income","$50,000 through $74,999"
"study 6_s498","study 6","household income","$25,000 through $34,999"
"study 6_s499","study 6","household income","$35,000 through $49,999"
"study 6_s502","study 6","household income","$50,000 through $74,999"
"study 6_s504","study 6","household income","$50,000 through $74,999"
"study 6_s505","study 6","household income","$100,000 and greater"
"study 6_s506","study 6","household income","$35,000 through $49,999"
"study 6_s507","study 6","household income","$16,000 through $24,999"
"study 6_s512","study 6","household income","$35,000 through $49,999"
"study 6_s513","study 6","household income","$75,000 through $99,999"
"study 6_s514","study 6","household income","$50,000 through $74,999"
"study 6_s515","study 6","household income","$50,000 through $74,999"
"study 6_s516","study 6","household income","$100,000 and greater"
"study 6_s517","study 6","household income","$75,000 through $99,999"
"study 6_s520","study 6","household income","$35,000 through $49,999"
"study 6_s522","study 6","household income","$35,000 through $49,999"
"study 6_s526","study 6","household income","$50,000 through $74,999"
"study 6_s527","study 6","household income","$25,000 through $34,999"
"study 6_s529","study 6","household income","$35,000 through $49,999"
"study 6_s530","study 6","household income","$35,000 through $49,999"
"study 6_s531","study 6","household income","$50,000 through $74,999"
"study 6_s532","study 6","household income","$25,000 through $34,999"
"study 6_s533","study 6","household income","$75,000 through $99,999"
"study 6_s535","study 6","household income","$35,000 through $49,999"
"study 6_s537","study 6","household income","$35,000 through $49,999"
"study 6_s538","study 6","household income","$5,000 through $11,999"
"study 6_s540","study 6","household income","$50,000 through $74,999"
"study 6_s541","study 6","household income","$35,000 through $49,999"
"study 6_s543","study 6","household income","$35,000 through $49,999"
"study 6_s544","study 6","household income","$35,000 through $49,999"
"study 6_s545","study 6","household income","$50,000 through $74,999"
"study 6_s546","study 6","household income","$50,000 through $74,999"
"study 6_s547","study 6","household income","$50,000 through $74,999"
"study 6_s548","study 6","household income","$25,000 through $34,999"
"study 6_s551","study 6","household income","$50,000 through $74,999"
"study 6_s552","study 6","household income","$50,000 through $74,999"
"study 6_s553","study 6","household income","$100,000 and greater"
"study 6_s554","study 6","household income","$50,000 through $74,999"
"study 6_s555","study 6","household income","$35,000 through $49,999"
"study 6_s558","study 6","household income","$35,000 through $49,999"
"study 6_s559","study 6","household income","$75,000 through $99,999"
"study 6_s561","study 6","household income","$50,000 through $74,999"
"study 6_s563","study 6","household income","$35,000 through $49,999"
"study 6_s567","study 6","household income","$100,000 and greater"
"study 6_s568","study 6","household income","$5,000 through $11,999"
"study 6_s570","study 6","household income","$50,000 through $74,999"
"study 6_s571","study 6","household income","$5,000 through $11,999"
"study 6_s572","study 6","household income","$16,000 through $24,999"
"study 6_s574","study 6","household income","$100,000 and greater"
"study 6_s575","study 6","household income","$75,000 through $99,999"
"study 6_s576","study 6","household income","$16,000 through $24,999"
"study 6_s577","study 6","household income","$35,000 through $49,999"
"study 6_s578","study 6","household income","$100,000 and greater"
"study 6_s581","study 6","household income","$50,000 through $74,999"
"study 6_s582","study 6","household income","$50,000 through $74,999"
"study 6_s583","study 6","household income","$35,000 through $49,999"
"study 6_s584","study 6","household income","$75,000 through $99,999"
"study 6_s587","study 6","household income","$100,000 and greater"
"study 6_s588","study 6","household income","$35,000 through $49,999"
"study 6_s589","study 6","household income","$100,000 and greater"
"study 6_s592","study 6","household income","$75,000 through $99,999"
"study 6_s593","study 6","household income","$100,000 and greater"
"study 6_s594","study 6","household income","$50,000 through $74,999"
"study 6_s595","study 6","household income","$50,000 through $74,999"
"study 6_s598","study 6","household income","$100,000 and greater"
"study 6_s599","study 6","household income","$50,000 through $74,999"
"study 6_s600","study 6","household income","$25,000 through $34,999"
"study 6_s602","study 6","household income","$16,000 through $24,999"
"study 6_s606","study 6","household income","$12,000 through $15,999"
"study 6_s608","study 6","household income","$75,000 through $99,999"
"study 6_s610","study 6","household income","$100,000 and greater"
"study 6_s613","study 6","household income","$100,000 and greater"
"study 6_s615","study 6","household income","$100,000 and greater"
"study 6_s616","study 6","household income","$35,000 through $49,999"
"study 6_s618","study 6","household income","$50,000 through $74,999"
"study 6_s619","study 6","household income","$50,000 through $74,999"
"study 6_s620","study 6","household income","$100,000 and greater"
"study 6_s621","study 6","household income","$50,000 through $74,999"
"study 6_s622","study 6","household income","$100,000 and greater"
"study 6_s623","study 6","household income","$50,000 through $74,999"
"study 6_s624","study 6","household income","$16,000 through $24,999"
"study 6_s626","study 6","household income","$50,000 through $74,999"
"study 6_s627","study 6","household income","$50,000 through $74,999"
"study 6_s628","study 6","household income","$50,000 through $74,999"
"study 6_s629","study 6","household income","$25,000 through $34,999"
"study 6_s630","study 6","household income","$50,000 through $74,999"
"study 6_s631","study 6","household income","$25,000 through $34,999"
"study 6_s634","study 6","household income","$75,000 through $99,999"
"study 6_s635","study 6","household income","$25,000 through $34,999"
"study 6_s636","study 6","household income","$16,000 through $24,999"
"study 6_s638","study 6","household income","$100,000 and greater"
"study 6_s639","study 6","household income","$25,000 through $34,999"
"study 6_s640","study 6","household income","$50,000 through $74,999"
"study 6_s001","study 6","race","White"
"study 6_s002","study 6","race","White"
"study 6_s003","study 6","race","White"
"study 6_s004","study 6","race","Black or African American"
"study 6_s005","study 6","race","White"
"study 6_s008","study 6","race","White"
"study 6_s009","study 6","race","Hispanic"
"study 6_s010","study 6","race","White"
"study 6_s012","study 6","race","White"
"study 6_s014","study 6","race","White"
"study 6_s015","study 6","race","White"
"study 6_s017","study 6","race","White"
"study 6_s018","study 6","race","White"
"study 6_s019","study 6","race","White"
"study 6_s020","study 6","race","White"
"study 6_s021","study 6","race","White"
"study 6_s024","study 6","race","Black or African American"
"study 6_s025","study 6","race","Black or African American"
"study 6_s028","study 6","race","Asian"
"study 6_s030","study 6","race","White"
"study 6_s031","study 6","race","White"
"study 6_s032","study 6","race","White"
"study 6_s036","study 6","race","White"
"study 6_s037","study 6","race","Black or African American"
"study 6_s038","study 6","race","White"
"study 6_s040","study 6","race","White"
"study 6_s041","study 6","race","White"
"study 6_s042","study 6","race","White"
"study 6_s043","study 6","race","White"
"study 6_s045","study 6","race","White"
"study 6_s046","study 6","race","White"
"study 6_s048","study 6","race","Prefer not to say"
"study 6_s049","study 6","race","White"
"study 6_s051","study 6","race","Black or African American"
"study 6_s052","study 6","race","White"
"study 6_s053","study 6","race","White"
"study 6_s054","study 6","race","White"
"study 6_s055","study 6","race","White"
"study 6_s056","study 6","race","White"
"study 6_s057","study 6","race","White"
"study 6_s058","study 6","race","White"
"study 6_s062","study 6","race","Black or African American"
"study 6_s063","study 6","race","More than one race"
"study 6_s064","study 6","race","White"
"study 6_s065","study 6","race","White"
"study 6_s066","study 6","race","White"
"study 6_s067","study 6","race","White"
"study 6_s068","study 6","race","White"
"study 6_s069","study 6","race","White"
"study 6_s070","study 6","race","White"
"study 6_s072","study 6","race","White"
"study 6_s073","study 6","race","White"
"study 6_s074","study 6","race","White"
"study 6_s075","study 6","race","White"
"study 6_s076","study 6","race","White"
"study 6_s078","study 6","race","White"
"study 6_s079","study 6","race","White"
"study 6_s080","study 6","race","Black or African American"
"study 6_s081","study 6","race","White"
"study 6_s082","study 6","race","White"
"study 6_s083","study 6","race","White"
"study 6_s084","study 6","race","White"
"study 6_s085","study 6","race","White"
"study 6_s086","study 6","race","White"
"study 6_s089","study 6","race","Prefer not to say"
"study 6_s090","study 6","race","White"
"study 6_s092","study 6","race","More than one race"
"study 6_s093","study 6","race","White"
"study 6_s095","study 6","race","White"
"study 6_s097","study 6","race","White"
"study 6_s099","study 6","race","White"
"study 6_s100","study 6","race","White"
"study 6_s101","study 6","race","White"
"study 6_s103","study 6","race","White"
"study 6_s104","study 6","race","White"
"study 6_s106","study 6","race","White"
"study 6_s108","study 6","race","White"
"study 6_s110","study 6","race","White"
"study 6_s111","study 6","race","White"
"study 6_s112","study 6","race","White"
"study 6_s113","study 6","race","White"
"study 6_s114","study 6","race","White"
"study 6_s115","study 6","race","White"
"study 6_s116","study 6","race","White"
"study 6_s117","study 6","race","White"
"study 6_s118","study 6","race","Black or African American"
"study 6_s119","study 6","race","White"
"study 6_s120","study 6","race","Asian"
"study 6_s121","study 6","race","White"
"study 6_s122","study 6","race","White"
"study 6_s123","study 6","race","White"
"study 6_s124","study 6","race","White"
"study 6_s125","study 6","race","White"
"study 6_s126","study 6","race","White"
"study 6_s127","study 6","race","White"
"study 6_s130","study 6","race","More than one race"
"study 6_s132","study 6","race","White"
"study 6_s133","study 6","race","White"
"study 6_s134","study 6","race","Black or African American"
"study 6_s136","study 6","race","White"
"study 6_s137","study 6","race","White"
"study 6_s139","study 6","race","White"
"study 6_s140","study 6","race","White"
"study 6_s141","study 6","race","White"
"study 6_s143","study 6","race","White"
"study 6_s145","study 6","race","White"
"study 6_s146","study 6","race","White"
"study 6_s147","study 6","race","White"
"study 6_s149","study 6","race","White"
"study 6_s150","study 6","race","White"
"study 6_s151","study 6","race","White"
"study 6_s153","study 6","race","White"
"study 6_s155","study 6","race","White"
"study 6_s156","study 6","race","Black or African American"
"study 6_s157","study 6","race","White"
"study 6_s159","study 6","race","White"
"study 6_s160","study 6","race","White"
"study 6_s161","study 6","race","White"
